AFF_LOVE_POINT	Pontos de Amor: %d%%
REFINE_DESTROY_WARNING	Em caso de falha na refinação, \n o item será destruído.	
REFINE_DESTROY_WARNING_WITH_BONUS_PERCENT_1	Queres mesmo melhorar este item?
REFINE_DESTROY_WARNING_WITH_BONUS_PERCENT_2	O item será destruído no caso de falha. Deseja continuar?	
REFINE_DOWN_GRADE_WARNING	O item perderá refinação no caso de falha!
REFINE_DO_YOU_SEPARATE_METIN	Deseja remover a Jóia?	
REFINE_FAILURE_CAN_NOT_ATTACH	Não podes incluir %s nesse Item.
REFINE_FAILURE_DEL_ITEM	A refinação falhou. \n O item foi destruído.
REFINE_FAILURE_EQUIP_ITEM	Não é possível refinar um item equipado.	
REFINE_FAILURE_GRADE_DOWN	A refinação falhou. \n O grau do item foi reduzido.
REFINE_FAILURE_KEEP_GRADE	A refinação falhou.\nFelizmente, o item saiu ileso.
REFINE_FAILURE_METIN_INSEPARABLE_ITEM	Não há uma Pedra para ser removida.	
REFINE_FAILURE_NEED_BETTER_SCROLL	É necessário um Pergaminho melhor para a refinação.	
REFINE_FAILURE_NO_GOLD_SOCKET	Não existe Socket para se adicionar %s.
REFINE_FAILURE_NO_MORE_SOCKET	Não é possível a criação de Slots adicionais.	
REFINE_FAILURE_NO_SOCKET0	Não possui Slot para poder adicionar %s.
REFINE_FAILURE_SOCKET_DISABLE_ITEM	Não é possível a criação de Slots adicionais neste item.	
REFINE_FAILURE_UPGRADE_DISABLE_ITEM	Não é possível refinar este item.	
REFINE_POPUP_NO_DOWNGRADE_MESSAGE	O item melhorado não pode ser destruído \n e não é possível reduzir o nível.
REFINE_SUCCESS	Parabéns, o item foi refinado com sucesso!	
REFINE_SUCCESS_PROBALITY	Chances de sucesso na refinação: %d%%	
REFINE_WARNING2	Deseja refinar?
SAFEBOX_ERROR	A senha está incorreta.	
SAFEBOX_SELL_DISABLE_SAFEITEM	Não é possível guardar este item no armazém.	
SAFEBOX_WRONG_PASSWORD	Ambas as senhas necessitam ser idênticas.	
SCREENSHOT_SAVE1	A screenshot será salva em	
SCREENSHOT_SAVE2	Metin2/screenshot	
SCREENSHOT_SAVE_FAILURE	Falha ao salvar a Screenshot.
SECOND	s
SELECT_CAN_NOT_DELETE	Não foi possível excluir o personagem.	
SELECT_CHANGED_NAME	O nome do personagem foi alterado.	
SELECT_CHANGE_FAILURE_ALREADY_EXIST_NAME	Nome já está em uso.	
SELECT_CHANGE_FAILURE_STRANGE_INDEX	Por favor, tente mais tarde.	
SELECT_CHANGE_FAILURE_STRANGE_NAME	O nome do personagem está incorreto.	
SELECT_CHANGE_NAME_TITLE	Alterar o nome do personagem	
SELECT_DELEING	Excluindo o personagem...	
SELECT_DELETED	Personagem excluído.
SELECT_DO_YOU_DELETE_REALLY	Deseja continuar?	
SELECT_EMPTY_SLOT	É possível a criação de personagem.	
SELECT_INPUT_CHANGING_NAME	Por favor, insira um novo nome para o personagem.	
SELECT_NOT_JOIN_GUILD	Sem Guilda	
SHOP_BUY_INFO	Selecione o item que deseja comprar.	
SHOP_CANNOT_SELL_ITEM	Não é possível vender este item.	
SHOP_ERROR_UNKNOWN	Erro desconhecido do Shop: %s	
SHOP_INVALID_POS	Este é um nome inapropriado.	
SHOP_INVENTORY_FULL	Não existe mais espaço livre em seu inventário.	
SHOP_NOT_ENOUGH_MONEY	Não possui Gold suficiente.	
SHOP_NOT_ENOUGH_MONEY_EX	not enough jeon
SHOP_SELL_INFO	Selecione o item de seu inventário para a venda.	
SHOP_SOLDOUT	Vendido	
SHOT_ERROR_UNKNOWN	Erro desconhecido de ataque a longa distância: %s	
SKILL_BOHO	Escudo Espelhado
SKILL_CHEONGEUN	Defesa Superior
SKILL_EUNHYEONG	Invisibilidade
SKILL_FIRE	Queimaduras
SKILL_FISHMIND	Manual de Pesca
SKILL_GEOMGYEONG	Lâmina Espiritual	
SKILL_GICHEON	Olhos de Dragão	
SKILL_GONGPO	Medo	
SKILL_GRADE_NAME_GRAND_MASTER	%s Grand Master	
SKILL_GRADE_NAME_MASTER	%s Master	
SKILL_GRADE_NAME_PERFECT_MASTER	%s Perfect Master	
SKILL_GROUP_ASSASSIN_1	Ninja	
SKILL_GROUP_ASSASSIN_2	Arqueira	
SKILL_GROUP_HORSE	Montaria	
SKILL_GROUP_SHAMAN_1	Dragão	
SKILL_GROUP_SHAMAN_2	Relâmpago	
SKILL_GROUP_SURA_1	Miragem	
SKILL_GROUP_SURA_2	Negra	
SKILL_GROUP_WARRIOR_1	Arahan	
SKILL_GROUP_WARRIOR_2	Partizan	
SKILL_GWIGEOM	Lâmina Sombria
SKILL_GYEONGGONG	Passos Leves		
SKILL_HEUKSIN	Proteção das Sombras	
SKILL_HOSIN	Escudo de Dragão	
SKILL_INC_ATKSPD	Bônus na Velocidade de Ataque	
SKILL_INC_MOVSPD	Bônus em Movimento	
SKILL_JEONGWI	Fúria	
SKILL_JEUNGRYEOK	Encantamentos Naturais	
SKILL_JUMAGAP	Aura Negra	
SKILL_KWAESOK	Passos de Pluma	
SKILL_MUYEONG	Evocar Elemental
SKILL_NEED_EMPTY_BOTTLE	Não possui uma Garrafa vazia.	
SKILL_NEED_POISON_BOTTLE	Não possui uma Garrafa de veneno.	
SKILL_ONLY_FOR_GUILD_WAR	A Skill só pode ser utilizada durante Guerras entre Guildas.	
SKILL_PABEOP	Magia dissipada
SKILL_POWERFUL_STRIKE	Ataque Atordoante	
SKILL_SLOW	Lentidão	
SKILL_STUN	Atordoar	
SKILL_SUMMON_DESCRIPTION	Chance de convocar: %d%%	
SKILL_TOOLTIP_INT	INT	
SKILL_TOOLTIP_LEVEL	Nível	
SKILL_TOXICDIE	Veneno	
STAT_MINUS_CON	Redução de VIT: %d	
STAT_MINUS_DEX	Redução de DES: %d	
STAT_MINUS_INT	Redução de INT: %d	
STAT_MINUS_STR	Redução de FOR: %d	
STAT_TOOLTIP_CON	Aumenta HP e Defesa
STAT_TOOLTIP_DEX	Aumenta a taxa de Acerto e Evasão.
STAT_TOOLTIP_INT	Aumenta MP, Atq. Mágico e Prot. Mágica
STAT_TOOLTIP_STR	Aumenta o Ataque	
SYMBOLLIST_TITLE	Emblema da Guilda	
SYSTEM_OPTION_CPU_TILING_1	CPU Tiling Mode pode melhorar a velocidade de um PC mais fraco.
SYSTEM_OPTION_CPU_TILING_2	Se existirem problemas com os gráficos, escolhe entre ,Systemoption‘ ou ,CONFIG.exe‘
SYSTEM_OPTION_CPU_TILING_3	e altera para GPU Tiling Mode.
SYSTEM_OPTION_GPU_TILING_1	GPU Tiling Mode pode tornar lento um PC mais fraco.
SYSTEM_OPTION_GPU_TILING_2	Se existirem problemas com os gráficos, escolhe entre 'System Option' ou 'CONFIG.exe'
SYSTEM_OPTION_GPU_TILING_3	e altera para GPU Tiling Mode.
SYSTEM_OPTION_TILING_EXIT	Para alterar para Tiling Mode o jogo tem de ser reiniciado.
TARGET_BUTTON_ACCEPT_FIGHT	Duelar	
TARGET_BUTTON_AVENGE	Vingança	
TARGET_BUTTON_BUILDING_DESTROY	Atacar	
TARGET_BUTTON_DISMOUNT	Desmontar	
TARGET_BUTTON_EMOTION_ALLOW	Expressões	
TARGET_BUTTON_EXCHANGE	Negociação	
TARGET_BUTTON_EXCLUDE	Excluir	
TARGET_BUTTON_EXIT_OBSERVER	Finalizar
TARGET_BUTTON_FIGHT	Duelo	
TARGET_BUTTON_FRIEND	Contato	
TARGET_BUTTON_INVITE_GUILD	Guilda	
TARGET_BUTTON_INVITE_PARTY	Grupo	
TARGET_BUTTON_LEAVE_PARTY	Sair
TARGET_BUTTON_REMOVE_GUILD	Remover da Guild
TARGET_BUTTON_REQUEST_ENTER_PARTY	Participar
TARGET_BUTTON_VIEW_EQUIPMENT	Equipamento	
TARGET_BUTTON_WHISPER	Mensagem
TARGET_LEVEL_BOSS	Mestre
TARGET_LEVEL_KING	Supremo
TARGET_LEVEL_KNIGHT	Superior
TARGET_LEVEL_PAWN	Comum
TARGET_LEVEL_S_KNIGHT	Elite
TARGET_LEVEL_S_PAWN	Valente
TASKBAR_ATTACK	Ataque	
TASKBAR_AUTO	Atacar automaticamente
TASKBAR_CAMERA	Câmera	
TASKBAR_EXP	Experiência	
TASKBAR_HP	HP	
TASKBAR_MOVE	Mover	
TASKBAR_SKILL	Skill	
TASKBAR_SP	MP	
TASKBAR_ST	Resistência	
THING_COUNT	Un.	
TOOLTIP_ANTI_CRITICAL_PCT	Resistência a Critico +%d%%	SA
TOOLTIP_ANTI_PENETRATE_PCT	Resistência a Perfuração +%d%%	SA
TOOLTIP_ANTI_SELL	Não pode ser vendido na Loja	
TOOLTIP_APPLY_ATTBONUS_ANIMAL	Bônus contra Animais: +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_ASSASSIN	Bônus contra Ninjas: +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_DEVIL	Bônus contra Demônios: +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_HUMAN	Bônus contra Humanóides: +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_MILGYO	Bônus contra Fanáticos: +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_MONSTER	Bônus contra Monstros: +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_ORC	Bônus contra Orcs: +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_SHAMAN	Bônus contra Shamans: +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_SURA	Bônus contra Shuras: +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_UNDEAD	Bônus contra Mortos-vivos: +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_WARRIOR	Bônus contra Guerreiros: +%d%%	SA
TOOLTIP_APPLY_BLOCK	Chance de bloquear Ataque Físico: %d%%	SA
TOOLTIP_APPLY_CRITICAL_PCT	Chance de Ataque Crítico: +%d 	SA
TOOLTIP_APPLY_DAMAGE_SP_RECOVER	Chance de recuperar MP no ataque: %d%%	SA
TOOLTIP_APPLY_DODGE	Chance de esquivar Flechas: %d%% 	SA
TOOLTIP_APPLY_EXP_DOUBLE_BONUS	Experiência bônus: +%d%% 	SA
TOOLTIP_APPLY_GOLD_DOUBLE_BONUS	Gold bônus: +%d%%	SA
TOOLTIP_APPLY_IMMUNE_FALL	Resistência contra Enfraquecimento	SNA
TOOLTIP_APPLY_IMMUNE_SLOW	Resistência contra Lentidão	SNA
TOOLTIP_APPLY_IMMUNE_STUN	Resistência contra Atordoamento	SNA
TOOLTIP_APPLY_ITEM_DROP_BONUS	Taxa de Drop: +%d%%	SA
TOOLTIP_APPLY_KILL_HP_RECOVER	Chance de restaurar HP: %d%% 	SA
TOOLTIP_APPLY_KILL_SP_RECOVER	Chance de restaurar MP: %d%% 	SA
TOOLTIP_APPLY_MANA_BURN_PCT	Chance de reduzir MP do oponente: %d%%	SA
TOOLTIP_APPLY_MAX_HP_PCT	HP Maximo +%d%%	SA
TOOLTIP_APPLY_MAX_SP_PCT	MP Maximo +%d%%	SA
TOOLTIP_APPLY_NOAFFECT	Sem efeito	
TOOLTIP_APPLY_NO_DEATH_PENALTY	Não perderá Experiência ao ser derrotado	SNA
TOOLTIP_APPLY_PENETRATE_PCT	Chance de Perfurar: +%d%%	SA
TOOLTIP_APPLY_POISON_PCT	Chance de Envenenar oponente: %d%%	SA
TOOLTIP_APPLY_POISON_REDUCE	Resistência contra Veneno: +%d%%	SA
TOOLTIP_APPLY_POTION_BONUS	Bônus em poções: +%d%%	SA
TOOLTIP_APPLY_REFLECT_CURSE	Reflete Magia: %d%%	SA
TOOLTIP_APPLY_REFLECT_MELEE	Reflete Ataques Físicos: %d%%	SA
TOOLTIP_APPLY_RESIST_ASSASSIN	Resistência contra Ninjas: %d%%	SA			
TOOLTIP_APPLY_RESIST_BELL	Resistência contra Sinos: %d%%	SA
TOOLTIP_APPLY_RESIST_DAGGER	Resistência contra Adagas: %d%%	SA
TOOLTIP_APPLY_RESIST_FAN	Resistência contra Leques: %d%% 	SA
TOOLTIP_APPLY_RESIST_SHAMAN	Resistência contra Shamans: %d%%	SA
TOOLTIP_APPLY_RESIST_SURA	Resistência contra Shuras: %d%%	SA
TOOLTIP_APPLY_RESIST_SWORD	Resistência contra Espadas: %d%% 	SA
TOOLTIP_APPLY_RESIST_TWOHAND	Resistência contra Esp. duas mãos: %d%%	SA
TOOLTIP_APPLY_RESIST_WARRIOR	Resistência contra Guerreiros: %d%%	SA	
TOOLTIP_APPLY_RESIST_WIND	Resistência contra Vento: %d%%	SA
TOOLTIP_APPLY_SKILL_BOOK_BONUS	Bônus em aprimorar Skills: 150%	SNA
TOOLTIP_APPLY_SKILL_BOOK_NO_DELAY	Ignora cooldown em aprimorar Skills	SNA
TOOLTIP_APPLY_SLOW_PCT	Chance de causar Lentidão: %d%%	SA
TOOLTIP_APPLY_STEAL_HP	Chance de absorver HP: %d%%	SA
TOOLTIP_APPLY_STEAL_SP	Chance de absorver MP: %d%%	SA
TOOLTIP_APPLY_STUN_PCT	Chance de Atordoar oponente: %d%%	SA
TOOLTIP_ARMOR	Armadura	
TOOLTIP_ARROW	Flecha	
TOOLTIP_ASSASSIN	Ninja	
TOOLTIP_ATT_GRADE	Ataque: +%d	SA
TOOLTIP_ATT_SPEED	Velocidade de ataque: +%d%%	SA
TOOLTIP_AUTO_POTION_HP	Pocao Automatica HP
TOOLTIP_AUTO_POTION_REST	Porcent. Restante : %.2f%%
TOOLTIP_AUTO_POTION_SP	Pocao Automatica MP
TOOLTIP_AUTO_POTION_USING	EM USO
TOOLTIP_BOW_DISTANCE	Alcance do arco: +%dm	SA
TOOLTIP_BUYPRICE	Preço: %s	
TOOLTIP_CAST_SPEED	Velocidade de Skill: +%d%%	SA
TOOLTIP_CON	Vitalidade: +%d	SA
TOOLTIP_COSTUME_ATTR_BONUS	increased costume bonus %d	SA
TOOLTIP_DEF_GRADE	Defesa: +%d	SA
TOOLTIP_DEX	Destreza: +%d	SA
TOOLTIP_DRAGON_SOUL_DECK1	Armadura	SNA
TOOLTIP_DRAGON_SOUL_DECK2	Acessórios	SNA
TOOLTIP_EAR	Brinco	
TOOLTIP_ENERGY	Energia em %d	SA
TOOLTIP_FISHINGROD_EXP	Pontos: %d / %d	
TOOLTIP_FISHINGROD_LEVEL	Level: %d	
TOOLTIP_FISHINGROD_UPGRADE1	Oferecer o item ao pescador.	
TOOLTIP_FISHINGROD_UPGRADE2	Refinar Vara de pescar	
TOOLTIP_FISHINGROD_UPGRADE3	Loja de itens para pesca	
TOOLTIP_FISH_LEN	Comprimento: %.2fcm	
TOOLTIP_HELMET	Elmo	
TOOLTIP_HP_REGEN	Regeneração de HP: +%d%%	SA
TOOLTIP_INT	Inteligência: +%d	SA
TOOLTIP_ITEM_ATT_GRADE	Ataque: %d	
TOOLTIP_ITEM_ATT_POWER	Ataque: %d - %d	
TOOLTIP_ITEM_ATT_POWER_ONE_ARG	Ataque: %d	
TOOLTIP_ITEM_ATT_SPEED	Velocidade de Ataque: %s	
TOOLTIP_ITEM_DEF_GRADE	Defesa: %d	
TOOLTIP_ITEM_FAST	Rápido	
TOOLTIP_ITEM_LIMIT_CON	Vit necessária: %d	
TOOLTIP_ITEM_LIMIT_DEX	Des necessária: %d	
TOOLTIP_ITEM_LIMIT_INT	Int necessária: %d	
TOOLTIP_ITEM_LIMIT_LEVEL	Nível necessário: %d	
TOOLTIP_ITEM_LIMIT_STR	For necessária: %d	
TOOLTIP_ITEM_MAGIC_ATT_POWER	Ataque Mágico: %d - %d	
TOOLTIP_ITEM_MAGIC_ATT_POWER_ONE_ARG	Ataque Mágico: %d	
TOOLTIP_ITEM_MAGIC_DEF_POWER	Proteção Mágica: %d	
TOOLTIP_ITEM_NORMAL	Normal	
TOOLTIP_ITEM_SLOW	Lento	
TOOLTIP_ITEM_VERY_FAST	Rápido	
TOOLTIP_ITEM_VERY_SLOW	Muito lento	
TOOLTIP_ITEM_WEARABLE_JOB	[ Classes ]	
TOOLTIP_LOTTERY_STEP_NUMBER	%d	
TOOLTIP_LOTTO_NUMBER	Número da sorte : %d	
TOOLTIP_MAGIC_ATTBONUS_PER	Ataque Mágico +%d%%	SA
TOOLTIP_MAGIC_ATT_GRADE	Ataque Mágico: +%d	SA
TOOLTIP_MAGIC_DEF_GRADE	Proteção Mágica: +%d	SA
TOOLTIP_MALL_ATTBONUS	Ataque: +%d%%	SA
TOOLTIP_MALL_ATTBONUS_STATIC	Ataque: +20%	SNA
TOOLTIP_MALL_ATT_SPEED	Bônus na Velocidade de Ataque +%d%%	SA
TOOLTIP_MALL_AUTOLOOT	Adquire Gold automaticamente	SNA
TOOLTIP_MALL_DEFBONUS	Defesa:+%d%%	SA
TOOLTIP_MALL_DEFBONUS_STATIC	Defesa: +12~15%	SNA
TOOLTIP_MALL_EXPBONUS	Experiência: +%d%%	SA
TOOLTIP_MALL_EXPBONUS_P_STATIC	Lan Experiência : +%d%%	SA
TOOLTIP_MALL_EXPBONUS_STATIC	Experiência: +100%	SNA
TOOLTIP_MALL_FISH_MIND	Chance de pescar um peixe raro: +100%	SNA
TOOLTIP_MALL_GOLDBONUS	Taxa de Gold: +%.1f	SA
TOOLTIP_MALL_GOLDBONUS_STATIC	Taxa de Gold: +100%	SNA
TOOLTIP_MALL_ITEMBONUS	Taxa de Drop: +%.1f	SA
TOOLTIP_MALL_ITEMBONUS_P_STATIC	Lan Taxa de Drop:+%.1f%%	SA
TOOLTIP_MALL_ITEMBONUS_STATIC	Taxa de Drop:+100%	SNA
TOOLTIP_MALL_MARRIAGE_FAST	Bônus nos Pontos de Amor	SNA
TOOLTIP_MALL_SAFEBOX	Armazém contém sessões extras	SNA
TOOLTIP_MAX_HP	HP Máximo: +%d	SA
TOOLTIP_MAX_HP_PCT	HP Máximo: +%d%%	SA
TOOLTIP_MAX_SP	MP Máximo: +%d	SA
TOOLTIP_MAX_SP_PCT	MP Máximo: +%d%%	SA
TOOLTIP_MAX_STAMINA	Resistência Máxima: +%d	SA
TOOLTIP_MELEE_MAGIC_ATTBONUS_PER	Bônus de Dano Físico/Mágico +%d%%	SA
TOOLTIP_MEMORIZED_POSITION	%s (%d, %d)	
TOOLTIP_MEMORIZED_POSITION_ERROR	Erro nas coordenadas(%d, %d)	
TOOLTIP_MOV_SPEED	Velocidade de Movimento: %d%%	SA
TOOLTIP_NECK	Colar	
TOOLTIP_NEED_ALL_SP	Usa todo o MP
TOOLTIP_NEED_GSP	GSP necessário: %d	
TOOLTIP_NEED_HP	HP necessário: %d	
TOOLTIP_NEED_HP_PER_SEC	HP necessário: %d/seg	
TOOLTIP_NEED_SP	MP necessário: %d	
TOOLTIP_NEED_SP_PER_SEC	MP necessário: %d/seg	
TOOLTIP_NEXT_SKILL_LEVEL_1	Próximo nível: %d (Nível máx: %d)	
TOOLTIP_NORMAL_HIT_DAMAGE_BONUS	Dano: %d%%	SA
TOOLTIP_NORMAL_HIT_DEFEND_BONUS	Resistencia a Dano Básico: %d%%	SA
TOOLTIP_PARTY_SKILL_LEVEL	Nível: %d
TOOLTIP_PICK_EXP	Pontos: %d / %d	
TOOLTIP_PICK_LEVEL	Level: %d	
TOOLTIP_PICK_UPGRADE1	Oferecer a Picareta ao Lenhador.	
TOOLTIP_PICK_UPGRADE2	Refinar Picareta	
TOOLTIP_PICK_UPGRADE3	Loja de itens para mineração
TOOLTIP_POTION_CURE	Cura efeitos negativos	
TOOLTIP_POTION_MIN	m	
TOOLTIP_POTION_PLUS_ATTACK_SPEED	Velocidade de Ataque: +%d	
TOOLTIP_POTION_PLUS_HP_PERCENT	HP: +%d%%	
TOOLTIP_POTION_PLUS_HP_POINT	HP: +%d	
TOOLTIP_POTION_PLUS_MOVING_SPEED	Velocidade de Movimento: +%d	
TOOLTIP_POTION_PLUS_SP_PERCENT	MP: +%d%%	
TOOLTIP_POTION_PLUS_SP_POINT	MP: +%d	
TOOLTIP_POTION_SEC	s	
TOOLTIP_POTION_TIME	Duração: 	
TOOLTIP_REQUIREMENT_SKILL_LEVEL	Skill %s nível %d  é necessária.	
TOOLTIP_REQUIREMENT_STAT_LEVEL	%s %d necessário.	
TOOLTIP_RESIST_BOW	Resistência contra Flechas: %d%%	SA
TOOLTIP_RESIST_DARK	Resistência a Trevas +%d	SA
TOOLTIP_RESIST_EARTH	Resistência a Terra +%d	SA
TOOLTIP_RESIST_ELEC	Resistência contra Relâmpago: +%d%%	SA
TOOLTIP_RESIST_FIRE	Resistência contra Fogo: +%d%%	SA
TOOLTIP_RESIST_ICE	Resistência a Gelo +%d	SA
TOOLTIP_RESIST_MAGIC	Resistência contra Magia: +%d%%	SA
TOOLTIP_REST_USABLE_COUNT	O restante número de utilizações : %d
TOOLTIP_SELLPRICE	Preço: %s	
TOOLTIP_SHAMAN	Shaman
TOOLTIP_SHIELD	Escudo	
TOOLTIP_SHOES	Calçado	
TOOLTIP_SKILLBOOK_NAME	Livro de Skill	
TOOLTIP_SKILL_AFFECT_ATT_GRADE	Ataque: +	
TOOLTIP_SKILL_AFFECT_ATT_POWER	Ataque: 	
TOOLTIP_SKILL_AFFECT_ATT_SPEED	Velocidade de Ataque: +	
TOOLTIP_SKILL_AFFECT_DEF_GRADE	Defesa: 	
TOOLTIP_SKILL_AFFECT_DODGE	Ataque do oponente: -	
TOOLTIP_SKILL_AFFECT_HEAL	Restaura HP: 	
TOOLTIP_SKILL_AFFECT_MOV_SPEED	Velocidade de movimento: +	
TOOLTIP_SKILL_AFFECT_REFLECT_MELEE	Reflete ataques físicos:
TOOLTIP_SKILL_AFFECT_RESIST_NORMAL	Resistência a dano físico: 	
TOOLTIP_SKILL_COOL_TIME	Cooldown: 	
TOOLTIP_SKILL_DAMAGE_BONUS	Dano de Skill: %d%%	SA
TOOLTIP_SKILL_DEFEND_BONUS	Resistência a Skills: %d%%	SA
TOOLTIP_SKILL_DURATION	Duração: %d segundos	
TOOLTIP_SKILL_FORGET_BOOK_NAME	Livro do Esquecimento	
TOOLTIP_SKILL_LEVEL	Nível: %d	
TOOLTIP_SKILL_LEVEL_MASTER	Nível: %d (Master)	
TOOLTIP_SKILL_LEVEL_WITH_MAX	Nível: %d (Nível máx: %d)	
TOOLTIP_SOCKET_EMPTY	Vazio	
TOOLTIP_SOCKET_REFINABLE_ITEM	[ Item para Slot ]	
TOOLTIP_SP_REGEN	Regeneração de MP: +%d%%	SA
TOOLTIP_STR	FOR: +%d	SA
TOOLTIP_SURA	Shura	
TOOLTIP_TIME_CHARGER_FIX	Duração %d%%	SA
TOOLTIP_TIME_CHARGER_PER	Duração %d%%	SA
TOOLTIP_UNIQUE	Único	
TOOLTIP_WARRIOR	Guerreiro	
TOOLTIP_WEAPON	Arma	
TOOLTIP_WRISTLET	Bracelete	
UI_ACCEPT	Aceitar	
UI_CANCEL	Cancelar	
UI_CLOSE	Fechar	
UI_DEF_FONT	Tahoma:12
UI_DEF_FONT_LARGE	Tahoma:14
UI_DEF_FONT_SMALL	Tahoma:9	
UI_DENY	Negar	
UI_ITEM	Item	
UI_LEFT_TIME	Tempo Restante : %d seg.	
UI_NEXT	Próximo	
UI_NEXTPAGE	>>
UI_NOCONTENTS	Sem conteúdo	
UI_NONAME	Sem nome	
UI_OK	Ok	
UI_POS_UNKNOWN	Local desconhecido	
UI_PREVPAGE	<<
UPLOAD_MARK_UPLOAD_NEED_RECONNECT	É necessário relogar para que as alterações tenham efeito.	
USE_ITEM_FAILURE_PRIVATE_SHOP	Não é possível utilizar o item enquanto a Loja Particular estiver aberta.	
ITEM_GET	Recebido: %s	SA
ITEM_GET_FROM_PARTY	Recebido: %s de %s	SAA
ITEM_DELIVER_TO_PARTY	Entregue: %s para %s	SAA
USE_ITEM_FAILURE_PRIVATE_SHOP	Não é possível utilizar o item enquanto a Loja Particular estiver aberta.	
