AFF_LOVE_POINT	Sevgi Puanı: %%%d
PVP_LEVEL7	Kötü Niyetli
PVP_LEVEL8	Zalim
PVP_MODE_GUILD	PvP - Lonca etkinleştirildi
PVP_MODE_KILL	PvP - Serbest etkinleştirildi
PVP_MODE_NORMAL	PvP - Barış etkinleştirildi.
PVP_MODE_PROTECT	PvP - Koruma etkinleştirildi.
PVP_MODE_REVENGE	PvP - Düşman etkinleştirildi
PVP_OPTION_KILL	Serbest
PVP_OPTION_NORMAL	Barış
PVP_OPTION_PROTECT	Koruma
PVP_OPTION_REVENGE	Düşmanca
QUEST_APPEND	Yeni görev geldi.
QUEST_MIN	Dk.
QUEST_SEC	Sn.
QUEST_TIMEOVER	Zaman doldu.
QUEST_UNLIMITED_TIME	Zaman sınırı yok.
QUICKSLOT_REGISTER_DISABLE_ITEM	Bu nesne hızlı erişim alanına eklenemez.
RECEIVE_MESSAGE	%s mesaj gönderdi.
REFINE_COST	Yükseltme bedeli: %d Yang
REFINE_DESTROY_WARNING	Eşya arındırılırken yok \n olabilir.
REFINE_DESTROY_WARNING_WITH_BONUS_PERCENT_1	Bu nesneyi gerçekten yükseltmek istiyor musun?
REFINE_DESTROY_WARNING_WITH_BONUS_PERCENT_2	fakat hata vermesi durumunda nesne yok olabilir. Devam etmek istiyor musunuz?
REFINE_DOWN_GRADE_WARNING	Eşyanın arındırılırken değeri düşebilir.
REFINE_DO_YOU_SEPARATE_METIN	Mevcut olan tüm Ruh Taşları çıkarılsın mı?
REFINE_FAILURE_CAN_NOT_ATTACH	Bu nesneye %s katamazsın.
REFINE_FAILURE_DEL_ITEM	Arındırma başarılı olmadı. \n Nesne yok oldu.
REFINE_FAILURE_EQUIP_ITEM	Kullanılmakta olan nesneleri geliştiremezsin.
REFINE_FAILURE_GRADE_DOWN	Arındırma başarılı olmadı. \n Nesnenin derecesi düştü.
REFINE_FAILURE_KEEP_GRADE	Arındırma başarısız sonuçlandı.\nNeyse ki nesneye bir şey olmadı.
REFINE_FAILURE_METIN_INSEPARABLE_ITEM	Çıkarabileceğiniz ruh taşı yok.
REFINE_FAILURE_NEED_BETTER_SCROLL	Daha iyi bir yükseltme Rolesine ihtiyacınız var.
REFINE_FAILURE_NO_GOLD_SOCKET	Burada %s eklemek için altın yuva yok.
REFINE_FAILURE_NO_MORE_SOCKET	Daha fazla slot ekleyemezsin.
REFINE_FAILURE_NO_SOCKET0	%s eklemek için boş slot yok.
REFINE_FAILURE_SOCKET_DISABLE_ITEM	Bu nesneye slot ekleyemezsin.
REFINE_FAILURE_UPGRADE_DISABLE_ITEM	Bu nesne yükseltilemez.
REFINE_POPUP_NO_DOWNGRADE_MESSAGE	Geliştirilmiş olan eşya yok edilemez \n veya değeri düşürülemez.
REFINE_SUCCESS	Nesnenin yükseltilmesi başarıyla tamamlandı.
REFINE_SUCCESS_PROBALITY	Yükseltme şansı %%%d
REFINE_WARNING2	Devam etmek istiyor musun?
SAFEBOX_ERROR	Yanlış şifre girdin.
SAFEBOX_SELL_DISABLE_SAFEITEM	Korumalı nesneleri satamazsınız.
SAFEBOX_WRONG_PASSWORD	Şifre aynı olmalı.
SCREENSHOT_SAVE1	Ekran Görüntüsü
SCREENSHOT_SAVE2	Dosyası Kaydedildi
SCREENSHOT_SAVE_FAILURE	Ekran görüntüsü kaydı yapılamadı.
SECOND	sn
SELECT_CAN_NOT_DELETE	Karakteri silemezsin.
SELECT_CHANGED_NAME	Karakterin adını değiştirdin
SELECT_CHANGE_FAILURE_ALREADY_EXIST_NAME	Bu karakter adı kullanılıyor
SELECT_CHANGE_FAILURE_STRANGE_INDEX	Tekrar dene.
SELECT_CHANGE_FAILURE_STRANGE_NAME	Bunu
SELECT_CHANGE_NAME_TITLE	Karakter adını değiştir
SELECT_DELEING	Karakter silinecek.
SELECT_DELETED	Başarıyla silindi.
SELECT_DO_YOU_DELETE_REALLY	Devam etmek istiyor musun?
SELECT_EMPTY_SLOT	Bu boş bir alan.
SELECT_INPUT_CHANGING_NAME	Yeni karakter adı gir.
SELECT_NOT_JOIN_GUILD	Lonca yok
SHOP_BUY_INFO	Market penceresinden satın almak istediğin nesneyi seç.
SHOP_CANNOT_SELL_ITEM	Bu eşya satılamaz.
SHOP_ERROR_UNKNOWN	Bilinmeyen market hatası: %s
SHOP_INVALID_POS	Bu eşya burada kullanılamaz.
SHOP_INVENTORY_FULL	Envanterde boş alan yok.
SHOP_NOT_ENOUGH_MONEY	Yeterli Yang yok
SHOP_NOT_ENOUGH_MONEY_EX	Yeterli Yang'a sahip değilsin.
SHOP_SELL_INFO	Envanter penceresinden satmak istediğin nesneyi seç.
SHOP_SOLDOUT	Satıldı
SHOT_ERROR_UNKNOWN	Uzaktan saldırı esnasında belirsiz hata: %s
SKILL_BOHO	Yansıtma
SKILL_CHEONGEUN	Güçlü Beden
SKILL_EUNHYEONG	Kamuflaj
SKILL_FIRE	Sürekli Ateş
SKILL_FISHMIND	Balıkçılık Küresi etkin
SKILL_GEOMGYEONG	Hava Kılıcı
SKILL_GICHEON	Ejderha Yardımı
SKILL_GONGPO	Dehşet
SKILL_GRADE_NAME_GRAND_MASTER	%s Grand Master
SKILL_GRADE_NAME_MASTER	%s Master
SKILL_GRADE_NAME_PERFECT_MASTER	%s Perfect Master
SKILL_GROUP_ASSASSIN_1	Bıçak
SKILL_GROUP_ASSASSIN_2	Ok
SKILL_GROUP_HORSE	Binicilik
SKILL_GROUP_SHAMAN_1	EjderGücü
SKILL_GROUP_SHAMAN_2	Iyileştirme
SKILL_GROUP_SURA_1	Silah
SKILL_GROUP_SURA_2	Kara Büyü
SKILL_GROUP_WARRIOR_1	Bedensel
SKILL_GROUP_WARRIOR_2	Zihinsel
SKILL_GWIGEOM	Büyülü Silah
SKILL_GYEONGGONG	Hafif Adım
SKILL_HEUKSIN	Karanlık Koruma
SKILL_HOSIN	Kutsama
SKILL_INC_ATKSPD	Saldırı hızı arttırıldı
SKILL_INC_MOVSPD	Hareket hızı arttırıldı
SKILL_JEONGWI	Öfke
SKILL_JEUNGRYEOK	Atak +
SKILL_JUMAGAP	Büyülü Zırh
SKILL_KWAESOK	Hız
SKILL_MUYEONG	Ateş Hayaleti
SKILL_NEED_EMPTY_BOTTLE	Boş şişem yok.
SKILL_NEED_POISON_BOTTLE	Zehir şişem yok.
SKILL_ONLY_FOR_GUILD_WAR	Bu beceriyi sadece Lonca Savaşı sırasında kullanabilirsin.
SKILL_PABEOP	Büyü Çözme
SKILL_POWERFUL_STRIKE	Sersemletici Saldırı
SKILL_SLOW	Yavaş
SKILL_STUN	Sersemletme
SKILL_SUMMON_DESCRIPTION	Çağırma şansı: %%%d
SKILL_TOOLTIP_INT	Zeka
SKILL_TOOLTIP_LEVEL	Seviye
SKILL_TOXICDIE	Zehirleme
STAT_MINUS_CON	Canlılık Ayarı (Kalan şans: %d)
STAT_MINUS_DEX	Çeviklik Ayarı (Kalan şans: %d)
STAT_MINUS_INT	Zeka Ayarı (Kalan şans: %d)
STAT_MINUS_STR	Güç Ayarı (Kalan şans: %d)
STAT_TOOLTIP_CON	HP ve Savunma'yı arttırıyor
STAT_TOOLTIP_DEX	Saldırı ve Savuşturma'yı arttıryor
STAT_TOOLTIP_INT	SP, Büyülü Saldırı ve Savunma'yı artırıyor
STAT_TOOLTIP_STR	Saldırı Değeri'ni ve Hasarı arttırıyor
SYMBOLLIST_TITLE	Lonca Bayrağı kaydedildi.
SYSTEM_OPTION_CPU_TILING_1	CPU modu zayıf bilgisayarların daha hızlı çalışmasını sağlar.
SYSTEM_OPTION_CPU_TILING_2	Eğer grafiklerde problem varsa diğer seçeneği işaretleyiniz ,Sistem seçenekleri‘ veya ,CONFIG.exe‘
SYSTEM_OPTION_CPU_TILING_3	ve GPU modunu seçin.
SYSTEM_OPTION_GPU_TILING_1	GPU Modu zayıf bilgisayarları daha yavaş çalıştırır.
SYSTEM_OPTION_GPU_TILING_2	Grafik ile ilgili sorunlarda, 'Sistem Seçenekleri' veya 'CONFIG.exe'yi seç
SYSTEM_OPTION_GPU_TILING_3	GPU modunu değiştirin.
SYSTEM_OPTION_TILING_EXIT	Tiling-Modu değişimi için oyun yeniden başlatılmalı.
TARGET_BUTTON_ACCEPT_FIGHT	Anlaşma
TARGET_BUTTON_AVENGE	İntikam
TARGET_BUTTON_BUILDING_DESTROY	Yıkmak
TARGET_BUTTON_DISMOUNT	İnmek
TARGET_BUTTON_EMOTION_ALLOW	Duygular
TARGET_BUTTON_EXCHANGE	Ticaret
TARGET_BUTTON_EXCLUDE	Reddetmek
TARGET_BUTTON_EXIT_OBSERVER	Gözlemci Modunu Bitir
TARGET_BUTTON_FIGHT	Düello
TARGET_BUTTON_FRIEND	Dost
TARGET_BUTTON_INVITE_GUILD	Lonca daveti
TARGET_BUTTON_INVITE_PARTY	Grup daveti
TARGET_BUTTON_LEAVE_PARTY	Grubu terket
TARGET_BUTTON_REMOVE_GUILD	Loncadan çıkar
TARGET_BUTTON_REQUEST_ENTER_PARTY	Gruba katıl
TARGET_BUTTON_VIEW_EQUIPMENT	Zırh
TARGET_BUTTON_WHISPER	Fısıldama
TARGET_LEVEL_BOSS	Patron
TARGET_LEVEL_KING	5.Seviye
TARGET_LEVEL_KNIGHT	3.Seviye
TARGET_LEVEL_PAWN	1.Seviye
TARGET_LEVEL_S_KNIGHT	4.Seviye
TARGET_LEVEL_S_PAWN	2.Seviye
TASKBAR_ATTACK	Atak
TASKBAR_AUTO	Otomatik Saldırı
TASKBAR_CAMERA	Kamera
TASKBAR_EXP	Deneyim
TASKBAR_HP	HP
TASKBAR_MOVE	ilerle
TASKBAR_SKILL	Beceri
TASKBAR_SP	SP
TASKBAR_ST	ST
THING_COUNT	hepsi
TOOLTIP_ANTI_CRITICAL_PCT	Kritik Vuruş Direnci +%%%d	SA
TOOLTIP_ANTI_PENETRATE_PCT	Delici Vuruş Direnci +%%%d	SA
TOOLTIP_ANTI_SELL	Depoda satılamaz
TOOLTIP_APPLY_ATTBONUS_ANIMAL	Hayvanlara karşı güçlü +%%%d	SA
TOOLTIP_APPLY_ATTBONUS_ASSASSIN	Ninjalara karşı güçlü +%%%d	SA
TOOLTIP_APPLY_ATTBONUS_DEVIL	Şeytanlara karşı güçlü +%%%d	SA
TOOLTIP_APPLY_ATTBONUS_HUMAN	Yarı insanlara karşı güçlü +%%%d	SA
TOOLTIP_APPLY_ATTBONUS_MILGYO	Mistiklere karşı güçlü +%%%d	SA
TOOLTIP_APPLY_ATTBONUS_MONSTER	Canavarlara karşı güçlü +%%%d	SA
TOOLTIP_APPLY_ATTBONUS_ORC	Orklara karşı güçlü +%%%d	SA
TOOLTIP_APPLY_ATTBONUS_SHAMAN	Şamanlara karşı güçlü +%%%d	SA
TOOLTIP_APPLY_ATTBONUS_SURA	Suralara karşı güçlü +%%%d	SA
TOOLTIP_APPLY_ATTBONUS_UNDEAD	Ölümsüzlere karşı güçlü +%%%d	SA
TOOLTIP_APPLY_ATTBONUS_WARRIOR	Savasçılara karşı güçlü +%%%d	SA
TOOLTIP_APPLY_BLOCK	Yakın dövüş saldırıları bloklama şansı: %%%d	SA
TOOLTIP_APPLY_CRITICAL_PCT	Kritik Vuruş Şansı: +%%%d	SA
TOOLTIP_APPLY_DAMAGE_SP_RECOVER	Vuruş yapıldığında Sp geri kazanım şansı %%%d	SA
TOOLTIP_APPLY_DODGE	Oklardan korunma şansı %%%d	SA
TOOLTIP_APPLY_EXP_DOUBLE_BONUS	EXP Bonus şansı %%%d	SA
TOOLTIP_APPLY_GOLD_DOUBLE_BONUS	İki kat Yang düşme şansı %%%d	SA
TOOLTIP_APPLY_IMMUNE_FALL	Yere düşme karşısında bağışıklık	SNA
TOOLTIP_APPLY_IMMUNE_SLOW	Yavaşlama karşısında bağışıklık	SNA
TOOLTIP_APPLY_IMMUNE_STUN	Sersemlik karşısında bağışıklık	SNA
TOOLTIP_APPLY_ITEM_DROP_BONUS	İki Kat eşya düşme şansı %%%d	SA
TOOLTIP_APPLY_KILL_HP_RECOVER	HP yenileme şansı %%%d	SA
TOOLTIP_APPLY_KILL_SP_RECOVER	SP yenileme şansı %%%d	SA
TOOLTIP_APPLY_MANA_BURN_PCT	SP çalma şansı %%%d	SA
TOOLTIP_APPLY_MAX_HP_PCT	Maks. HP %%%d	SA
TOOLTIP_APPLY_MAX_SP_PCT	Maks. SP +%%%d	SA
TOOLTIP_APPLY_NOAFFECT	Efekt yok.
TOOLTIP_APPLY_NO_DEATH_PENALTY	Karakter ölüp burada başla dediğinde deneyim kaybetmeyecek.	SNA
TOOLTIP_APPLY_PENETRATE_PCT	Delici Vuruş için şansı %%%d	SA
TOOLTIP_APPLY_POISON_PCT	Zehirleme şansı %%%d	SA
TOOLTIP_APPLY_POISON_REDUCE	Zehre karşı koyma %%%d	SA
TOOLTIP_APPLY_POTION_BONUS	İksir etkisi %%%d yükseldi	SA
TOOLTIP_APPLY_REFLECT_CURSE	Lanet Yansıtılması: %%%d	SA
TOOLTIP_APPLY_REFLECT_MELEE	Yakın dövüş vuruşlarını yansıtma şansı: %%%d	SA
TOOLTIP_APPLY_RESIST_ASSASSIN	Ninja saldırılarına karşı savunma şansı %%%d	SA
TOOLTIP_APPLY_RESIST_BELL	Çan Savunması %%%d	SA
TOOLTIP_APPLY_RESIST_DAGGER	Bıçak Savunması %%%d	SA
TOOLTIP_APPLY_RESIST_FAN	Yelpaze Savunması %%%d	SA
TOOLTIP_APPLY_RESIST_SHAMAN	Şaman saldırılarına karşı savunma şansı: %%%d	SA
TOOLTIP_APPLY_RESIST_SURA	Sura saldırılarına karşı savunma şansı: %%%d	SA
TOOLTIP_APPLY_RESIST_SWORD	Kılıç Savunması %%%d	SA
TOOLTIP_APPLY_RESIST_TWOHAND	Çift-El Savunma %%%d	SA
TOOLTIP_APPLY_RESIST_WARRIOR	Savaşçı saldırılarına karşı savunma şansı: %%%d	SA
TOOLTIP_APPLY_RESIST_WIND	Rüzgar Dayanıklılığı %%%d	SA
TOOLTIP_APPLY_SKILL_BOOK_BONUS	Kitaptan öğrenme şansı 2,5 arttı.	SNA
TOOLTIP_APPLY_SKILL_BOOK_NO_DELAY	Öğrenme başarısız olursa, anında bir kere daha deneme şansına sahipsin.	SNA
TOOLTIP_APPLY_SLOW_PCT	Yavaşlama şansı: %%%d	SA
TOOLTIP_APPLY_STEAL_HP	%%%d hasar, HP ile absorbe edilecek	SA
TOOLTIP_APPLY_STEAL_SP	%%%d hasar, SP ile absorbe edilecek.	SA
TOOLTIP_APPLY_STUN_PCT	Bayılma şansı: %%%d	SA
TOOLTIP_ARMOR	Zırh
TOOLTIP_ARROW	Ok
TOOLTIP_ASSASSIN	Ninja
TOOLTIP_ATT_GRADE	Saldırı Değeri +%d	SA
TOOLTIP_ATT_SPEED	Saldırı Hızı +%%%d	SA
TOOLTIP_AUTO_POTION_HP	Güneş Özütü
TOOLTIP_AUTO_POTION_REST	Kalan miktar: %.2f%%
TOOLTIP_AUTO_POTION_SP	Ay Özütü
TOOLTIP_AUTO_POTION_USING	Etkin
TOOLTIP_BOW_DISTANCE	Yay Menzili +%dm	SA
TOOLTIP_BUYPRICE	Fiyatı: %s
TOOLTIP_CAST_SPEED	Büyü Hızı +%%%d	SA
TOOLTIP_CON	Canlılık +%d	SA
TOOLTIP_COSTUME_ATTR_BONUS	Kostüm bonusu %%%d	SA
TOOLTIP_DEF_GRADE	Savunma +%d	SA
TOOLTIP_DEX	Çeviklik +%d	SA
TOOLTIP_DRAGON_SOUL_DECK1	Dünya	SNA
TOOLTIP_DRAGON_SOUL_DECK2	Gökyüzü	SNA
TOOLTIP_EAR	Küpe
TOOLTIP_ENERGY	Enerji %d	SA
TOOLTIP_FISHINGROD_EXP	Puanlar %d / %d
TOOLTIP_FISHINGROD_LEVEL	Seviye: %d
TOOLTIP_FISHINGROD_UPGRADE1	Onu balıkçıya ver;
TOOLTIP_FISHINGROD_UPGRADE2	daha iyi
TOOLTIP_FISHINGROD_UPGRADE3	bir olta almak için.
TOOLTIP_FISH_LEN	Uzunluk: %.2fcm
TOOLTIP_HELMET	Kask
TOOLTIP_HP_REGEN	HP Üretimi +%%%d	SA
TOOLTIP_INT	Zeka +%d	SA
TOOLTIP_ITEM_ATT_GRADE	Saldırı değeri %d
TOOLTIP_ITEM_ATT_POWER	Saldırı değeri %d - %d
TOOLTIP_ITEM_ATT_POWER_ONE_ARG	Saldırı değeri %d
TOOLTIP_ITEM_ATT_SPEED	Saldırı hızı %s
TOOLTIP_ITEM_DEF_GRADE	Defans %d
TOOLTIP_ITEM_FAST	Hızlı
TOOLTIP_ITEM_LIMIT_CON	Canlılık üst limiti: %d
TOOLTIP_ITEM_LIMIT_DEX	Çeviklik üst limiti: %d
TOOLTIP_ITEM_LIMIT_INT	Zeka üst limiti: %d
TOOLTIP_ITEM_LIMIT_LEVEL	Seviye: %d
TOOLTIP_ITEM_LIMIT_STR	Güç üst limiti: %d
TOOLTIP_ITEM_MAGIC_ATT_POWER	Büyülü saldırı değeri %d - %d
TOOLTIP_ITEM_MAGIC_ATT_POWER_ONE_ARG	Büyülü saldırı değeri %d
TOOLTIP_ITEM_MAGIC_DEF_POWER	Büyü Savunması %d
TOOLTIP_ITEM_NORMAL	Normal
TOOLTIP_ITEM_SLOW	Yavaş
TOOLTIP_ITEM_VERY_FAST	Çok Hızlı
TOOLTIP_ITEM_VERY_SLOW	Çok Yavaş
TOOLTIP_ITEM_WEARABLE_JOB	[ Giyilebilir ]
TOOLTIP_LOTTERY_STEP_NUMBER	%d
TOOLTIP_LOTTO_NUMBER	Şans Numarası: %d
TOOLTIP_MAGIC_ATTBONUS_PER	Büyü Saldırı +%%%d	SA
TOOLTIP_MAGIC_ATT_GRADE	Büyülü Saldırı Değeri +%d	SA
TOOLTIP_MAGIC_DEF_GRADE	Büyü Savunması +%d	SA
TOOLTIP_MALL_ATTBONUS	Saldırı Değeri +%%%d	SA
TOOLTIP_MALL_ATTBONUS_STATIC	Saldırı Değeri +12~15%	SNA
TOOLTIP_MALL_ATT_SPEED	Saldırı hızı arttırıldı +%d%%	SA
TOOLTIP_MALL_AUTOLOOT	Yerdeki mevcut Yang`ın otomatik olarak toplanmasını sağlayan el.	SNA
TOOLTIP_MALL_DEFBONUS	Savunma +%%%d	SA
TOOLTIP_MALL_DEFBONUS_STATIC	Savunma +12~15%	SNA
TOOLTIP_MALL_EXPBONUS	EXP +%%%d	SA
TOOLTIP_MALL_EXPBONUS_P_STATIC	iCafe EXP Bonus +%%%d	SA
TOOLTIP_MALL_EXPBONUS_STATIC	EXP artışını %50 arttırır	SNA
TOOLTIP_MALL_FISH_MIND	Balık yakalama şansını ikiye katlar.	SNA
TOOLTIP_MALL_GOLDBONUS	Elde edilen yang kat sayısı %.1f olarak değişti.	SA
TOOLTIP_MALL_GOLDBONUS_STATIC	Yang elde etme şansını ikiye katlar.	SNA
TOOLTIP_MALL_ITEMBONUS	Elde edilen nesne katsayısı %.1f olarak değisti.	SA
TOOLTIP_MALL_ITEMBONUS_P_STATIC	Eşya ele geçirme şans artışı %.1f%%	SA
TOOLTIP_MALL_ITEMBONUS_STATIC	Eşya ele geçirme şansını ikiye katlar.	SNA
TOOLTIP_MALL_MARRIAGE_FAST	Sevgi Puanı daha hızlı artar.	SNA
TOOLTIP_MALL_SAFEBOX	Depoya fazladan 2 oda daha eklenir	SNA
TOOLTIP_MAX_HP	Max. HP +%d	SA
TOOLTIP_MAX_HP_PCT	Max. HP +%%%d	SA
TOOLTIP_MAX_SP	Max. SP +%d	SA
TOOLTIP_MAX_SP_PCT	Max. SP +%%%d	SA
TOOLTIP_MAX_STAMINA	Max. Dayanıklılık +%d	SA
TOOLTIP_MELEE_MAGIC_ATTBONUS_PER	Büyü Saldırı / Yakın Dövüş Saldırı +%%%d	SA
TOOLTIP_MEMORIZED_POSITION	%s (%d, %d)
TOOLTIP_MEMORIZED_POSITION_ERROR	GPS ERROR(%d, %d)
TOOLTIP_MOV_SPEED	Hareket Hızı %%%d	SA
TOOLTIP_NECK	Kolye
TOOLTIP_NEED_ALL_SP	Gereken SP: Max.
TOOLTIP_NEED_GSP	Gereken Ejderha Hayaleti: %d
TOOLTIP_NEED_HP	Gereken HP: %d
TOOLTIP_NEED_HP_PER_SEC	HP/Sn.: %d
TOOLTIP_NEED_SP	Gereken SP: %d
TOOLTIP_NEED_SP_PER_SEC	SP: %d / Sn.
TOOLTIP_NEXT_SKILL_LEVEL_1	Sonraki Seviye: %d (Max. %d)
TOOLTIP_NORMAL_HIT_DAMAGE_BONUS	Ortalama Zarar %%%d	SA
TOOLTIP_NORMAL_HIT_DEFEND_BONUS	Ortalama Zarara Direniş %%%d	SA
TOOLTIP_PARTY_SKILL_LEVEL	Mevcut Seviye: %d
TOOLTIP_PICK_EXP	Puanlar: %d / %d
TOOLTIP_PICK_LEVEL	Seviye: %d
TOOLTIP_PICK_UPGRADE1	Onu oduncuya ver;
TOOLTIP_PICK_UPGRADE2	daha iyi
TOOLTIP_PICK_UPGRADE3	bir kazma alabilmek için.
TOOLTIP_POTION_CURE	Olumsuz sonuçları geri al.
TOOLTIP_POTION_MIN	Min.
TOOLTIP_POTION_PLUS_ATTACK_SPEED	Saldırı Hızı: +%d
TOOLTIP_POTION_PLUS_HP_PERCENT	HP: +%%%d
TOOLTIP_POTION_PLUS_HP_POINT	HP: +%d
TOOLTIP_POTION_PLUS_MOVING_SPEED	Hareket Hızı: +%d
TOOLTIP_POTION_PLUS_SP_PERCENT	SP: +%%%d
TOOLTIP_POTION_PLUS_SP_POINT	SP: +%d
TOOLTIP_POTION_SEC	Sn.
TOOLTIP_POTION_TIME	Süre:
TOOLTIP_REQUIREMENT_SKILL_LEVEL	%s Seviye %d gerekli.
TOOLTIP_REQUIREMENT_STAT_LEVEL	%s %d gerekli
TOOLTIP_RESIST_BOW	Oka karşı dayanıklılık %%%d	SA
TOOLTIP_RESIST_DARK	Karanlık Direnci +%%%d	SA
TOOLTIP_RESIST_EARTH	Dünya Direnci +%%%d	SA
TOOLTIP_RESIST_ELEC	Şimseğe karşı dayanıklılık %%%d	SA
TOOLTIP_RESIST_FIRE	Ateşe karşı dayanıklılık %%%d	SA
TOOLTIP_RESIST_ICE	Buz Direnci +%%%d	SA
TOOLTIP_RESIST_MAGIC	Büyüye karşı dayanıklılık %%%d	SA
TOOLTIP_REST_USABLE_COUNT	Kalan: %d
TOOLTIP_SELLPRICE	Fiyat: %s
TOOLTIP_SHAMAN	Şaman
TOOLTIP_SHIELD	Kalkan
TOOLTIP_SHOES	Ayakkabı
TOOLTIP_SKILLBOOK_NAME	Beceri Kitabı
TOOLTIP_SKILL_AFFECT_ATT_GRADE	Saldırı Değeri: +
TOOLTIP_SKILL_AFFECT_ATT_POWER	Saldırı Değeri:
TOOLTIP_SKILL_AFFECT_ATT_SPEED	Saldırı Hızı: +
TOOLTIP_SKILL_AFFECT_DEF_GRADE	Savunma:
TOOLTIP_SKILL_AFFECT_DODGE	Rakip saldırı değeri: -
TOOLTIP_SKILL_AFFECT_HEAL	Yüklenen HP:
TOOLTIP_SKILL_AFFECT_MOV_SPEED	Hareket Hızı: +
TOOLTIP_SKILL_AFFECT_REFLECT_MELEE	Yakın dövüş saldırılarını yansıtma şansı:
TOOLTIP_SKILL_AFFECT_RESIST_NORMAL	Beden hasarına karşı koyma:
TOOLTIP_SKILL_COOL_TIME	Yükleme Süresi: 
TOOLTIP_SKILL_DAMAGE_BONUS	Beceri Hasarı %%%d	SA
TOOLTIP_SKILL_DEFEND_BONUS	Beceri hasarına karşı koyma %%%d	SA
TOOLTIP_SKILL_DURATION	Süre: %d Sn.
TOOLTIP_SKILL_FORGET_BOOK_NAME	Unutkanlığın Kitabı
TOOLTIP_SKILL_LEVEL	Güncel Seviye: %d
TOOLTIP_SKILL_LEVEL_MASTER	Güncel Seviye: %d (Master)
TOOLTIP_SKILL_LEVEL_WITH_MAX	Güncel Seviye: %d (Max. %d)
TOOLTIP_SOCKET_EMPTY	Boş
TOOLTIP_SOCKET_REFINABLE_ITEM	[Slotlu Nesne]
TOOLTIP_SP_REGEN	SP Üretimi +%%%d	SA
TOOLTIP_STR	Güç +%d	SA
TOOLTIP_SURA	Sura
TOOLTIP_TIME_CHARGER_FIX	Süre Yükleme %d sn.	SA
TOOLTIP_TIME_CHARGER_PER	Süre Yükleme %%%d	SA
TOOLTIP_UNIQUE	Eşsiz
TOOLTIP_WARRIOR	Savaşçı
TOOLTIP_WEAPON	Silah
TOOLTIP_WRISTLET	Bileklik
UI_ACCEPT	Kabul
UI_CANCEL	iptal
UI_CLOSE	Kapat
UI_DEF_FONT	Tahoma:12
UI_DEF_FONT_LARGE	Tahoma:14
UI_DEF_FONT_SMALL	Tahoma:9
UI_DENY	Red
UI_ITEM	Nesne
UI_LEFT_TIME	Kalan Zaman: %d Sec.
UI_NEXT	Devam
UI_NEXTPAGE	Devam
UI_NOCONTENTS	İçerik yok
UI_NONAME	isimsiz
UI_OK	OK
UI_POS_UNKNOWN	Bilinmeyen Yer
UI_PREVPAGE	Geri
UPLOAD_MARK_UPLOAD_NEED_RECONNECT	Upload yeniden başlatılmalı.
USE_ITEM_FAILURE_PRIVATE_SHOP	Özel bir dükkân açtığın sürece, nesneleri kullanamazsın.
ITEM_GET	Alındı: %s	SA
ITEM_GET_FROM_PARTY	Alındı: %s şundan: %s	SAA
ITEM_DELIVER_TO_PARTY	Teslim edildi: %s şuna: %s	SAA
