AFF_LOVE_POINT	نقاط الحب: %d%%
MAP_WL_01	ميدان الأفاعي
MESSENGER_ADD_FRIEND	إضافة صديق
MESSENGER_DO_YOU_ACCEPT_ADD_FRIEND_1	لقد اتخذك %s صديقاً له.
MESSENGER_DO_YOU_ACCEPT_ADD_FRIEND_2	موافق؟
MESSENGER_DO_YOU_DELETE	هل تريد حذفه؟
MESSENGER_DO_YOU_DELETE_PHONE_NUMBER	هل ترغب حذف رقم الهاتف المحمول؟
MESSENGER_EMPTY_LIST	فارغ
MESSENGER_FAMILY	عائلة
MESSENGER_FRIEND	أصدقاء
MESSENGER_GUILD	رابطة
MESSENGER_INPUT_MOBILE_AUTHORITY_DESCRIPTION	أدخل رقم الشفرة الذي توصلت بها على هاتفك المحمول.
MESSENGER_INPUT_MOBILE_AUTHORITY_TITLE	أدخل رقم الشفرة
MESSENGER_INPUT_MOBILE_PHONE_NUMBER_1	الرجاء إدخال رقم هاتفك المحمول لإرسال الرسائل القصيرة.
MESSENGER_INPUT_MOBILE_PHONE_NUMBER_2	هل ترغب في إدخال الرقم الآن؟
MESSENGER_INPUT_MOBILE_PHONE_NUMBER_TITLE	أدخل رقم الهاتف المحمول
MESSENGER_SEND_MOBILE_MESSAGE_TITLE	إرسال الرسالة
METIN_TEST	
MINIMAP	فتح الخريطة الصغيرة
MINIMAP_CANNOT_SEE	لا يمكن إظهار الخريطة الصغيرة.
MINIMAP_CAN_NOT_SHOW_AREAMAP	لا يمكن عرض الخريطة الكبيرة.
MINIMAP_DEC_SCALE	تصغير
MINIMAP_INC_SCALE	تكبير
MINIMAP_OBSERVER_COUNT	مُشاهد %d
MINIMAP_SHOW_AREAMAP	فتح الخريطة الكبيرة
MINUTE	د
MONETARY_UNIT0	يانغ
MONEY_INPUT_DIALOG_SELLPRICE	سعر البيع:
MOVE_ITEM_FAILURE_PRIVATE_SHOP	لا يمكنك تغيير مكان أي شيء، طالما أنك تملك متجراً شخصياً.
MUSIC_EMPTY_MUSIC_LIST	بدون موسيقى مرافقة.
MUSIC_METIN2_DEFAULT_THEMA	موسيقى Metin2
MUSIC_NOT_SELECT_MUSIC	لم يتم اختيار ملف موسيقي.
NEEFD_REST	عليك أولاً الاستراحة.
NOT_YET_SUPPORT	لا يتم دعمه.
OPTION_PVPMODE_CANNOT_SET_GUILD_MODE	لا يمكنك تفعيل خدمة الرابطة إذا لم تكُن عضواً فيها.
OPTION_PVPMODE_NOT_SUPPORT	لا يمكنك استعمال خيار لاعب ضد لاعب.
OPTION_PVPMODE_PROTECT	يجب أن يصل مستواك %d كأدنى حد لكي تتمكن من تغيير نظام لاعب ضد لاعب.
PARTY_BONUS_ATTACKER	قيمة الهجوم: +%d	SA
PARTY_BONUS_BERSERKER	سرعة الهجوم: +%d	SA
PARTY_BONUS_BUFFER	مدة المهارة: +%d	SA
PARTY_BONUS_DEFENDER	الدفاع +%d%%	SA
PARTY_BONUS_EXP	نقاط إضافية في الخبرة: %d%%	SA
PARTY_BONUS_SKILL_MASTER	إستعادة نقاط الحياة عند القتل +%d%%	SA
PARTY_BONUS_TANKER	نقاط حياة قصوى:+%d	SA
PARTY_BREAK_UP	حذف المجموعة
PARTY_DO_YOU_ACCEPT	 يرغب في الانضمام إلى المجموعة.
PARTY_DO_YOU_JOIN	 دعاك إلى المجموعة. هل تريد قبول الدعوة؟
PARTY_EXP_DISTRIBUTION_MODE	تقسيم نقاط الخبرة
PARTY_EXP_DISTRIBUTION_MODE_LEVEL	حسب المستوى
PARTY_EXP_DISTRIBUTION_MODE_LEVEL_TOOLTIP	سيحصل أعضاء المجموعة ذوي المستويات المرتفعة على نقاط خبرة إضافية.
PARTY_EXP_DISTRIBUTION_MODE_PARITY	مُتساو
PARTY_EXP_DISTRIBUTION_MODE_PARITY_TOOLTIP	ينال جميع أعضاء المجموعة نقاط الأسلوب بالتساوي.
PARTY_HEAL_ALL_MEMBER	استرجاع الوضع الأولي للجميع
PARTY_INCREASE_AREA_150	ارتفاع مدى المجموعة بعامل 1,5.	SNA
PARTY_INCREASE_AREA_200	ارتفاع مدى المجموعة بعامل 2	SNA
PARTY_LEAVE	مغادرة المجموعة
PARTY_MEMBER_OFFLINE	[غير متصل]
PARTY_RECALL_MEMBER	استدعاء  أعضاء المجموعة.
PARTY_REQUEST_DENIED	لقد رُفض طلبك.
PARTY_SET_ATTACKER	وظِّفهُ كمهاجم.
PARTY_SET_BERSERKER	تعيينه كهائج.
PARTY_SET_BUFFER	وظِّفه كمُتصدِّي.
PARTY_SET_DEFENDER	وظفه كمدافع.
PARTY_SET_NORMAL	إلغاء التعديل.
PARTY_SET_SKILL_MASTER	تعينه بصفته سيد المهارات.
PARTY_SET_TANKER	تعيين كمحارب في القتال عن قرب.
PARTY_SKILL_ATTACKER	قيمة الهجوم الأساسية مهاجم +%.0f
PARTY_SKILL_BERSERKER	سرعة هجوم الهائج +%.0f
PARTY_SKILL_BUFFER	مدة مهارة المتصدي +%.0f
PARTY_SKILL_DEFENDER	الدفاع كمُدافع +%.0f%%
PARTY_SKILL_SKILL_MASTER	استعادة نقاط الحياة سيد المهارة+: %.0f%%
PARTY_SKILL_TANKER	نقاط الحياة القصوى للمقاتل عن قرب +%.0f.
PASSWORD_TITLE	كلمة سر المستودع
PET_TOOLTIP_COSTUME_BONUS	
PICK_ITEM_TITLE	رقم الشيء
PICK_MONEY_TITLE	المبلغ
PRIVATE_SHOP_CANNOT_SELL_ITEM	لا يُمكنك بيع هذا الشيء في متجر خاص.
PRIVATE_SHOP_CLOSE_QUESTION	هل تريد إغلاق المتجر الخاص؟
PRIVATE_SHOP_INPUT_NAME_DIALOG_TITLE	اسم المتجر الخاص
PRIVATE_SHOP_INPUT_PRICE_DIALOG_TITLE	سعر
PVP_LEVEL0	فارسي
PVP_LEVEL1	نَبِيل
PVP_LEVEL2	جَيِّد
PVP_LEVEL3	لطيف
PVP_LEVEL4	محايد
PVP_LEVEL5	عدائي
PVP_LEVEL6	ماكر
PVP_LEVEL7	خبيث
PVP_LEVEL8	فَظِيع
PVP_MODE_GUILD	تفعيل الرابطة - نظام لاعب ضد لاعب
PVP_MODE_KILL	نظام لاعب ضد لاعب - بدون قيد
PVP_MODE_NORMAL	نظام لاعب ضد لاعب - تشغيل السلام
PVP_MODE_PROTECT	لاعب ضد لاعب - تفعيل الحماية
PVP_MODE_REVENGE	لاعب ضد لاعب - نظام عدائي
PVP_OPTION_KILL	بدون قيد
PVP_OPTION_NORMAL	السلام
PVP_OPTION_PROTECT	الحماية
PVP_OPTION_REVENGE	عدائي
QUEST_APPEND	تم تسجيل أمر جديد.
QUEST_MIN	دقيقة
QUEST_SEC	ثانية
QUEST_TIMEOVER	انتهى الوقت
QUEST_UNLIMITED_TIME	بدون قيدٍ زمني
QUICKSLOT_REGISTER_DISABLE_ITEM	لا يمكن زيادة هذا الغرض إلى ساحة الهجوم السريع.
RECEIVE_MESSAGE	%s أرسل لك رسالة.
REFINE_COST	تكاليف التحسين: %d يانغ
REFINE_DESTROY_WARNING	قد يؤدي تحسين هذا الشيء إلى تدميره.
REFINE_DESTROY_WARNING_WITH_BONUS_PERCENT_1	هل تريد بالفعل تحسين هذا الشئ؟
REFINE_DESTROY_WARNING_WITH_BONUS_PERCENT_2	قد يتعرض هذا الشيء للتدمير عند الفشل. هل ترغب رغم ذلك في الاستمرار؟
REFINE_DOWN_GRADE_WARNING	قد تتسبب عملية التحسين في التخفيض من قيمة هذا الشيء.
REFINE_DO_YOU_SEPARATE_METIN	حذف جميع الأحجار الشّبحية؟
REFINE_FAILURE_CAN_NOT_ATTACH0	لا يستطيع %s إضافة أي شيء لهذا البند.
REFINE_FAILURE_DEL_ITEM	لقد فشلت عملية الصقل. \n لقد تم تدمير هذا الشيء.
REFINE_FAILURE_EQUIP_ITEM	لا يمكنك تحسين الأشياء المُدرعة.
REFINE_FAILURE_GRADE_DOWN	لقد فشلت عملية الصقل. \n لقد تم تخفيض مستوى هذا الشيء.
REFINE_FAILURE_KEEP_GRADE	لقد فشلت عملية الصقل.\nلحسن الحظ، لقد تم الحفاظ على هذا الشيء.
REFINE_FAILURE_METIN_INSEPARABLE_ITEM	لا يمحنك حذف حجر الشبح.
REFINE_FAILURE_NEED_BETTER_SCROLL	إنك بحاجة إلى لفيفة تحسين أحسن من هذه.
REFINE_FAILURE_NO_GOLD_SOCKET	لا يوجد هناك مقبس ذهبي، لإضافة %s.
REFINE_FAILURE_NO_MORE_SOCKET	لا يُمكنك إضافة مقابس جديدة.
REFINE_FAILURE_NO_SOCKET0	لا يوجد مقبس فارغ من أجل %s.
REFINE_FAILURE_SOCKET_DISABLE_ITEM	لا يمكنك إضافة مقابس إضافية لهذا البند.
REFINE_FAILURE_UPGRADE_DISABLE_ITEM	لا يمكن تحسين هذا البند.
REFINE_POPUP_NO_DOWNGRADE_MESSAGE	لن يتعرض الشيء الذي تم تحسينه إلى \n التدمير أو التشويه.
REFINE_SUCCESS	لقد تم تحسين هذا البند بنجاح.
REFINE_SUCCESS_PROBALITY	فرص التحسين: %d%%
REFINE_WARNING2	هل تريد الاستمرار بالتحسين؟
SAFEBOX_ERROR	إن كلمة السر غير صحيحة.
SAFEBOX_SELL_DISABLE_SAFEITEM	لا يُمكنك بيع أي من الأشياء المَحفُوظة.
SAFEBOX_WRONG_PASSWORD	يجب أن تكون كلمات السر متطابقة.
SCREENSHOT_SAVE1	حُفظت في
SCREENSHOT_SAVE2	ملف صور اللعبة
SCREENSHOT_SAVE_FAILURE	فشِل حِفظ صور اللعبة
SECOND	ثانية
SELECT_CAN_NOT_DELETE	لا يُمكنك حذف هذه الشخصية.
SELECT_CHANGED_NAME	لقد قُمت بتغيير اسم هذه الشخصية.
SELECT_CHANGE_FAILURE_ALREADY_EXIST_NAME	إن اسم الشخصية المختار مُستعمل.
SELECT_CHANGE_FAILURE_STRANGE_INDEX	حاول مجدداً.
SELECT_CHANGE_FAILURE_STRANGE_NAME	اسم الشخصية غير صحيح.
SELECT_CHANGE_NAME_TITLE	تغيير اسم الشخصية
SELECT_DELEING	بدأت عملية الحذف ...
SELECT_DELETED	تم الحذف بنجاح.
SELECT_DO_YOU_DELETE_REALLY	هل ترغب في المتابعة؟
SELECT_EMPTY_SLOT	إن هذه الخانة فارغة.
SELECT_INPUT_CHANGING_NAME	الرجاء إدخال اسم جديد للشخصية.
SELECT_NOT_JOIN_GUILD	بدون رابطة
SHOP_BUY_INFO	اختر في نافذة المتجر الشيء الذي ترغب في شرائه.
SHOP_CANNOT_SELL_ITEM	هذا الشيء غير معروض للبيع.
SHOP_ERROR_UNKNOWN	عطب مجهول في المتجر: %s
SHOP_INVALID_POS	إن هذا الشيء غير مناسب.
SHOP_INVENTORY_FULL	لم يعُد هناك مكان فارغ في قائمة الجرد.
SHOP_NOT_ENOUGH_MONEY	لا تملك ما يكفي من الوون أو اليانغ
SHOP_NOT_ENOUGH_MONEY_EX	إنك لا تملك ما يكفي من اليانغ.
SHOP_SELL_INFO	اختر في جدول قائمة الجرد الشيء الذي ترغب في بيعه.
SHOP_SOLDOUT	تم بيعه
SHOT_ERROR_UNKNOWN	خطأ مجهول أثناء الهجوم عن بعد: %s
SKILL_BOHO	انعكاس
SKILL_CHEONGEUN	جسد قوي
SKILL_EUNHYEONG	غير مرئي
SKILL_FIRE	إحراق
SKILL_FISHMIND	تم تفعيل كرة السمك
SKILL_GEOMGYEONG	هالة السيف
SKILL_GICHEON	مساعدة التنين
SKILL_GONGPO	خوف
SKILL_GRADE_NAME_GRAND_MASTER	%s الخبير المحترف
SKILL_GRADE_NAME_MASTER	%s سيد
SKILL_GRADE_NAME_PERFECT_MASTER	%s سيد متكامل
SKILL_GROUP_ASSASSIN_1	شفرة
SKILL_GROUP_ASSASSIN_2	قوس
SKILL_GROUP_HORSE	فن الفروسية
SKILL_GROUP_SHAMAN_1	تنين
SKILL_GROUP_SHAMAN_2	شفاء
SKILL_GROUP_SURA_1	سلاح
SKILL_GROUP_SURA_2	سحر
SKILL_GROUP_WARRIOR_1	جسد
SKILL_GROUP_WARRIOR_2	ذهني
SKILL_GWIGEOM	شفرة مسحورة
SKILL_GYEONGGONG	مشي الريش
SKILL_HEUKSIN	الحماية الظلامية
SKILL_HOSIN	بركة
SKILL_INC_ATKSPD	ارتفاع سرعة الهجوم
SKILL_INC_MOVSPD	ارتفاع سرعة التحرك
SKILL_JEONGWI	نشوة القتال
SKILL_JEUNGRYEOK	هجوم +
SKILL_JUMAGAP	درع مسحور
SKILL_KWAESOK	سرعة
SKILL_MUYEONG	شبح اللهب
SKILL_NEED_EMPTY_BOTTLE	لا أملك قارورة فارغة.
SKILL_NEED_POISON_BOTTLE	لا أملك قارورة سم.
SKILL_ONLY_FOR_GUILD_WAR	لا يمكنك استعمال هذه المهارة إلاّ في حروب الروابط.
SKILL_PABEOP	إزالة السحر
SKILL_POWERFUL_STRIKE	هجوم مُخدِّر
SKILL_SLOW	بطيء
SKILL_STUN	تخدير
SKILL_SUMMON_DESCRIPTION	فرصة للشعوذة: %d%%
SKILL_TOOLTIP_INT	ذكاء
SKILL_TOOLTIP_LEVEL	مستوى
SKILL_TOXICDIE	تسمم
STAT_MINUS_CON	تعديل طاقة الحياة (الوقت المتبقي: %d)
STAT_MINUS_DEX	تعديل المناورة (الفرص المتبقية: %d)
STAT_MINUS_INT	تعديل الذكاء (الفرص المتبقية: %d)
STAT_MINUS_STR	تعديل القوة (الفرص المتبقية: %d)
STAT_TOOLTIP_CON	يرفع نقاط الحياة و الدفاع
STAT_TOOLTIP_DEX	ارتفاع الهجوم والمناورة
STAT_TOOLTIP_INT	يرفع من نقاط الأسلوب، وقوة الهجوم السحري والدفاع السحري.
STAT_TOOLTIP_STR	يرفع من قيمة الهجوم والضرر
SYMBOLLIST_TITLE	تسجيل علم الرابطة
TARGET_BUTTON_ACCEPT_FIGHT	وافَق
TARGET_BUTTON_AVENGE	ثأر
TARGET_BUTTON_BUILDING_DESTROY	تدمير
TARGET_BUTTON_DISMOUNT	تَرَجَّلَ
TARGET_BUTTON_EMOTION_ALLOW	مشاعر
TARGET_BUTTON_EXCHANGE	متاجرة
TARGET_BUTTON_EXCLUDE	استبعاد
TARGET_BUTTON_EXIT_OBSERVER	إنهاء المشاهدة
TARGET_BUTTON_FIGHT	مُبَارَزة
TARGET_BUTTON_FRIEND	صديق
TARGET_BUTTON_INVITE_GUILD	دعوة الرابطة.
TARGET_BUTTON_INVITE_PARTY	دعوة ج.
TARGET_BUTTON_LEAVE_PARTY	غادر المجموعة
TARGET_BUTTON_REMOVE_GUILD	إبعاده عن الرابطة
TARGET_BUTTON_REQUEST_ENTER_PARTY	الانضمام إلى المجموعة
TARGET_BUTTON_VIEW_EQUIPMENT	دروع
TARGET_BUTTON_WHISPER	همس
TARGET_LEVEL_BOSS	زَعِيم
TARGET_LEVEL_KING	مرتبة 5
TARGET_LEVEL_KNIGHT	مرتبة 3
TARGET_LEVEL_PAWN	مرتبة 1
TARGET_LEVEL_S_KNIGHT	مرتبة 4
TARGET_LEVEL_S_PAWN	مستوى 2
TASKBAR_ATTACK	هاجم
TASKBAR_AUTO	هجوم تلقائي
TASKBAR_CAMERA	كاميرا
TASKBAR_EXP	خبرة
TASKBAR_HP	نقاط الحياة
TASKBAR_MOVE	تحرك
TASKBAR_SKILL	مهارة
TASKBAR_SP	نقاط الأسلوب
TASKBAR_ST	نقاط التحمل
THING_COUNT	الجميع
TOOLTIP_ANTI_CRITICAL_PCT	مقاومة ضد الضربات الحرجة +%d%%	SA
TOOLTIP_ANTI_PENETRATE_PCT	مقاومة ضد الضربات الخارقة +%d%%	SA
TOOLTIP_ANTI_SELL	لا يمكنك بيعه في المتجر.
TOOLTIP_APPLY_ATTBONUS_ANIMAL	قوي ضد الحيوانات +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_ASSASSIN	قوي ضد النينجا +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_DEVIL	قوي ضد الشيطان +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_HUMAN	قوي ضد نصف بشر +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_MILGYO	قوي ضد الطائفة السرية +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_MONSTER	قوي ضد الوحوش +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_ORC	قوي ضد الغيلان +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_SHAMAN	قوي ضد شامان +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_SURA	قوي ضد سورا +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_UNDEAD	قوي ضد الزومبي +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_WARRIOR	قوي ضد المحارب +%d%%	SA
TOOLTIP_APPLY_BLOCK	فرصة صَد الهجوم عن قرب %d%%	SA
TOOLTIP_APPLY_CRITICAL_PCT	فرص الإصابة بضربة حرجة +%d%%	SA
TOOLTIP_APPLY_DAMAGE_SP_RECOVER	%d%% فرص استعادة نقاط الأسلوب عند الإصابة	SA
TOOLTIP_APPLY_DODGE	%d%% فرص تفادي الهجوم بالسهام	SA
TOOLTIP_APPLY_EXP_DOUBLE_BONUS	%d%% فرص الحصول على نقاط خبرة إضافية	SA
TOOLTIP_APPLY_GOLD_DOUBLE_BONUS	%d%% فرص إسقاط ضعف كمية اليانغ.	SA
TOOLTIP_APPLY_IMMUNE_FALL	مُحصن ضد الوقوع	SNA
TOOLTIP_APPLY_IMMUNE_SLOW	الدفاع ضد التباطؤ	SNA
TOOLTIP_APPLY_IMMUNE_STUN	دفاع ضد الإغماء	SNA
TOOLTIP_APPLY_ITEM_DROP_BONUS	%d%% فرص إسقاط ضعف كمية الأشياء.	SA
TOOLTIP_APPLY_KILL_HP_RECOVER	%d%% فرص استعادة نقاط الحياة	SA
TOOLTIP_APPLY_KILL_SP_RECOVER	%d%% فرص استعادة نقاط الأسلوب	SA
TOOLTIP_APPLY_MANA_BURN_PCT	فرص نهب نقاط الأسلوب %d%%	SA
TOOLTIP_APPLY_MAX_HP_PCT	نقاط الحياة القصوى HP +%d%%	SA
TOOLTIP_APPLY_MAX_SP_PCT	أقصى MP نقاط الأسلوب +%d%%	SA
TOOLTIP_APPLY_NOAFFECT	بدون تأثير
TOOLTIP_APPLY_NO_DEATH_PENALTY	بعد إعادة إحياء اللاعب في مكان الموت، لن يتم خصم أي نقاط للخبرة.	SNA
TOOLTIP_APPLY_PENETRATE_PCT	%d%% فرص تحصيل ضربة خارقة	SA
TOOLTIP_APPLY_POISON_PCT	فرصة التسمم: %d%%	SA
TOOLTIP_APPLY_POISON_REDUCE	مقاومة السموم %d%%	SA
TOOLTIP_APPLY_POTION_BONUS	زيادة في تأثير الجرعة بنسبة %d%%	SA
TOOLTIP_APPLY_REFLECT_CURSE	%d%% فرص عكس اللعنة	SA
TOOLTIP_APPLY_REFLECT_MELEE	%d%% فرصُ عكس ضربات الهجمات عن قرب.	SA
TOOLTIP_APPLY_RESIST_ASSASSIN	فرص الدفاع ضد هجوم النينجا %d%%	SA
TOOLTIP_APPLY_RESIST_BELL	دفاع جرسي %d%%	SA
TOOLTIP_APPLY_RESIST_DAGGER	دفاع خنجري %d%%	SA
TOOLTIP_APPLY_RESIST_FAN	دفاع مروحي %d%%	SA
TOOLTIP_APPLY_RESIST_SHAMAN	فرص الدفاع ضد هجوم الشامان %d%%	SA
TOOLTIP_APPLY_RESIST_SURA	فرص الدفاع ضد هجوم السورا %d%%	SA
TOOLTIP_APPLY_RESIST_SWORD	دفاع سيفي %d%%	SA
TOOLTIP_APPLY_RESIST_TWOHAND	دفاع سيف اليدين %d%%	SA
TOOLTIP_APPLY_RESIST_WARRIOR	فرص الدفاع ضد هجوم المحاربين %d%%	SA
TOOLTIP_APPLY_RESIST_WIND	مقاومة الرياح %d%%	SA
TOOLTIP_APPLY_SKILL_BOOK_BONUS	فرصة الاستفادة من الكتب ترتفع بعامل 2,5	SNA
TOOLTIP_APPLY_SKILL_BOOK_NO_DELAY	ستحصل إذا فشل التّعلم الحصول على فرصة إضافية لإعادة المحاولة.	SNA
TOOLTIP_APPLY_SLOW_PCT	فرص التبطيء: %d%%	SA
TOOLTIP_APPLY_STEAL_HP	تستوعب نقاط الحياة %d%% من الضرر.	SA
TOOLTIP_APPLY_STEAL_SP	تستوعب نقاط الأسلوب %d%% من الضرر.	SA
TOOLTIP_APPLY_STUN_PCT	فرص الإغماء %d%%	SA
TOOLTIP_ARMOR	دروع
TOOLTIP_ARROW	سهم
TOOLTIP_ASSASSIN	نينجا
TOOLTIP_ATT_GRADE	قيمة الهجوم +%d	SA
TOOLTIP_ATT_SPEED	سرعة الهجوم +%d%%	SA
TOOLTIP_AUTO_POTION_HP	إكسير الشمس
TOOLTIP_AUTO_POTION_REST	الكمية المتبقية: %.2f%%
TOOLTIP_AUTO_POTION_SP	إكسير القمر
TOOLTIP_AUTO_POTION_USING	مُفعّل
TOOLTIP_BOW_DISTANCE	مدى الرماية +%dm	SA
TOOLTIP_BUYPRICE	السعر: %s
TOOLTIP_CAST_SPEED	سرعة السحر: +%d%%	SA
TOOLTIP_CON	قوة الحياة +%d	SA
TOOLTIP_COSTUME_ATTR_BONUS	علاوة الزي %d%%	SA
TOOLTIP_DEF_GRADE	دفاع +%d	SA
TOOLTIP_DEX	المناورة +%d	SA
TOOLTIP_DRAGON_SOUL_DECK1	سماء	SNA
TOOLTIP_DRAGON_SOUL_DECK2	أرض	SNA
TOOLTIP_EAR	حلق
TOOLTIP_ENERGY	طاقة %d	SA
TOOLTIP_FISHINGROD_EXP	نقاط: %d / %d
TOOLTIP_FISHINGROD_LEVEL	مستوى: %d
TOOLTIP_FISHINGROD_UPGRADE1	امنحه للصياد
TOOLTIP_FISHINGROD_UPGRADE2	لكي تحصل على
TOOLTIP_FISHINGROD_UPGRADE3	صنارة صيد أفضل بكثير.
TOOLTIP_FISH_LEN	الطول: %.2fcm
TOOLTIP_HELMET	خوذة
TOOLTIP_HP_REGEN	تجديد نقاط الحياة +%d%%	SA
TOOLTIP_INT	ذكاء +%d	SA
TOOLTIP_ITEM_ATT_GRADE	قيمة الهجوم %d
TOOLTIP_ITEM_ATT_POWER	قيمة الهجوم %d - %d
TOOLTIP_ITEM_ATT_POWER_ONE_ARG	قيمة الهجوم %d
TOOLTIP_ITEM_ATT_SPEED	سرعة الهجوم %s
TOOLTIP_ITEM_DEF_GRADE	دفاع %d
TOOLTIP_ITEM_FAST	سريع
TOOLTIP_ITEM_LIMIT_CON	الحد الأقصى من قوة الحياة: %d
TOOLTIP_ITEM_LIMIT_DEX	الحد الأقصى للمناورة: %d
TOOLTIP_ITEM_LIMIT_INT	الحد الأقصى للذكاء: %d
TOOLTIP_ITEM_LIMIT_LEVEL	ابتداء من المستوى: %d
TOOLTIP_ITEM_LIMIT_STR	الحد الأقصى للقوة: %d
TOOLTIP_ITEM_MAGIC_ATT_POWER	قيمة الهجوم السحري %d - %d
TOOLTIP_ITEM_MAGIC_ATT_POWER_ONE_ARG	قيمة الهجوم السحري %d
TOOLTIP_ITEM_MAGIC_DEF_POWER	الدفاع السحري %d
TOOLTIP_ITEM_NORMAL	طبيعي
TOOLTIP_ITEM_SLOW	بطيء
TOOLTIP_ITEM_VERY_FAST	سريع جداً
TOOLTIP_ITEM_VERY_SLOW	بطيء جداً
TOOLTIP_ITEM_WEARABLE_JOB	[قابل للتجهيز]
TOOLTIP_LOTTERY_STEP_NUMBER	%d
TOOLTIP_LOTTO_NUMBER	رقم الحظ: %d
TOOLTIP_MAGIC_ATTBONUS_PER	هجوم سحري +%d%%	SA
TOOLTIP_MAGIC_ATT_GRADE	قيمة الهجوم السحري +%d	SA
TOOLTIP_MAGIC_DEF_GRADE	دفاع سحري +%d	SA
TOOLTIP_MALL_ATTBONUS	قيمة الهجوم +%d%%	SA
TOOLTIP_MALL_ATTBONUS_STATIC	قيمة الهجوم	SNA
TOOLTIP_MALL_ATT_SPEED	ارتفاع سرعة الهجوم +%d%%	SA
TOOLTIP_MALL_AUTOLOOT	سيتم تلقائياً تسجيل اليانغ.	SNA
TOOLTIP_MALL_DEFBONUS	الدفاع +%d%%	SA
TOOLTIP_MALL_DEFBONUS_STATIC	دفاع	SNA
TOOLTIP_MALL_EXPBONUS	نقاط الخبرة +%d%%	SA
TOOLTIP_MALL_EXPBONUS_P_STATIC	نقاط الخبرة لمقهى الإنترنت الإضافية +%d%%	SA
TOOLTIP_MALL_EXPBONUS_STATIC	50 % خبرة إضافية	SNA
TOOLTIP_MALL_FISH_MIND	ارتفاع نجاح فرص صيد السمك.	SNA
TOOLTIP_MALL_GOLDBONUS	إرتفعت فرص إسقاط اليانغ بمقدار %d%%	SA
TOOLTIP_MALL_GOLDBONUS_STATIC	فرص مضاعفة في إسقاط اليانغ	SNA
TOOLTIP_MALL_ITEMBONUS	إرتفعت فرص إسقاط الأشياء بمقدار %d%%	SA
TOOLTIP_MALL_ITEMBONUS_P_STATIC	مقهى إنترنت فرص غنم بنود زائد %.1f%%	SA
TOOLTIP_MALL_ITEMBONUS_STATIC	إرتفعت فرص إسقاط الأشياء بنسبة 200%.	SNA
TOOLTIP_MALL_MARRIAGE_FAST	زيادة نقاط الحب بسرعة أكبر.	SNA
TOOLTIP_MALL_SAFEBOX	توفير مساحة أكبر للتخزين.	SNA
TOOLTIP_MAX_HP	نقاط الحياة القصوى +%d	SA
TOOLTIP_MAX_HP_PCT	نقاط الحياة القصوى +%d%%	SA
TOOLTIP_MAX_SP	نقاط الأسلوب القصوى +%d	SA
TOOLTIP_MAX_SP_PCT	نقاط الأسلوب القصوى +%d%%	SA
TOOLTIP_MAX_STAMINA	مدة التحمل القصوى +%d	SA
TOOLTIP_MELEE_MAGIC_ATTBONUS_PER	هجوم سحري/قتال عن قرب +%d%%	SA
TOOLTIP_MEMORIZED_POSITION	%s (%d، %d)
TOOLTIP_MEMORIZED_POSITION_ERROR	خطأ GPS(%d, %d)
TOOLTIP_MOV_SPEED	سرعة التحرك %d%%	SA
TOOLTIP_NECK	قلادة
TOOLTIP_NEED_ALL_SP	نقاط الأسلوب المطلوبة: الحد الأقصى
TOOLTIP_NEED_GSP	شبح التنين المطلوب: %d
TOOLTIP_NEED_HP	نقاط الحياة المطلوبة: %d
TOOLTIP_NEED_HP_PER_SEC	نقاط الحياة / في الثانية: %d
TOOLTIP_NEED_SP	نقاط الأسلوب المطلوبة: %d
TOOLTIP_NEED_SP_PER_SEC	نقاط الأسلوب / الثانية: %d
TOOLTIP_NEXT_SKILL_LEVEL_1	المستوى التالي: %d (الحد الأقصى %d)
TOOLTIP_NORMAL_HIT_DAMAGE_BONUS	معدل الضرر %d%%	SA
TOOLTIP_NORMAL_HIT_DEFEND_BONUS	معدل مقاومة الأضرار %d%%	SA
TOOLTIP_PARTY_SKILL_LEVEL	المستوى الحالي: %d
TOOLTIP_PICK_EXP	نقاط: %d / %d
TOOLTIP_PICK_LEVEL	المستوى: %d
TOOLTIP_PICK_UPGRADE1	قدّمها للحطاب
TOOLTIP_PICK_UPGRADE2	لكي تحصل
TOOLTIP_PICK_UPGRADE3	على منكاش أفضل منه.
TOOLTIP_POTION_CURE	إعادة التأثيرات السلبية.
TOOLTIP_POTION_MIN	دقيقة
TOOLTIP_POTION_PLUS_ATTACK_SPEED	سرعة الهجوم +%d
TOOLTIP_POTION_PLUS_HP_PERCENT	نقاط الحياة +%d%%
TOOLTIP_POTION_PLUS_HP_POINT	نقاط الحياة +%d
TOOLTIP_POTION_PLUS_MOVING_SPEED	سرعة التحرك +%d
TOOLTIP_POTION_PLUS_SP_PERCENT	نقاط الأسلوب +%d%%
TOOLTIP_POTION_PLUS_SP_POINT	نقاط الأسلوب +%d
